Country Code,Year,Size,Value,Unit,Main Activity Sector Name,Main Activity Code,Country,ETS information,Active Installation,Entities
RO,2024.0,All sizes,159890.0,units,25 Production or processing of ferrous metals,25,Romania,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,9.0
RO,2025.0,All sizes,917777.0,units,24  Production of pig iron or steel,24,Romania,1. Total allocated allowances (EUA or EUAA),all entities,
RO,,All sizes,7463.0,units,23 Metal ore roasting or sintering,23,Romania,4. Total surrendered units,all entities,
RO,,All sizes,139087.0,units,23 Metal ore roasting or sintering,23,Romania,1.1 Freely allocated allowances,all entities,
SK,2014.0,All sizes,245913.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,1.1 Freely allocated allowances,all entities,2.0
SK,2014.0,All sizes,247327.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,2.0
SK,2014.0,All sizes,9088225.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2.1 EU-ETS Verified Emission,all entities,4.0
SK,2015.0,All sizes,241514.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,1. Total allocated allowances (EUA or EUAA),all entities,2.0
SK,2015.0,All sizes,271676.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,2.0
SK,2015.0,All sizes,6274582.0,units,24  Production of pig iron or steel,24,Slovakia,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,4.0
SK,2015.0,All sizes,8736059.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,Slovakia,2.1 EU-ETS Verified Emission,all entities,4.0
SK,2016.0,All sizes,14569.0,units,24  Production of pig iron or steel,24,Slovakia,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),all entities,4.0
SK,2016.0,All sizes,270926.0,units,28 Production or processing of non-ferrous metals,28,Slovakia,4.1 Surrendered EU allowances (EUAs and EUAAs),all entities,2.0
SK,2010.0,All sizes,67735.0,units,25 Production or processing of ferrous metals,25,Slovakia,1. Total allocated allowances (EUA or EUAA),all entities,4.0
