"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2017","309.00","309.00","309.00","309.00","2.19K","-0.80%"
"10/12/2017","311.50","311.50","311.50","311.50","0.13K","0.16%"
"10/11/2017","311.00","311.00","311.00","311.00","0.27K","-1.89%"
"10/10/2017","317.00","317.00","317.00","317.00","0.30K","-0.31%"
"10/09/2017","318.00","318.00","318.00","318.00","1.08K","4.61%"
"10/06/2017","304.00","304.00","304.00","304.00","0.27K","1.33%"
"10/05/2017","300.00","300.00","300.00","300.00","0.65K","1.69%"
"10/04/2017","295.00","295.00","295.00","295.00","0.56K","-1.01%"
"10/03/2017","298.00","298.00","298.00","298.00","0.02K","2.41%"
"10/02/2017","291.00","291.00","291.00","291.00","0.11K","-3.16%"
"09/29/2017","300.50","300.50","300.50","300.50","1.49K","0.50%"
"09/28/2017","299.00","299.00","299.00","299.00","1.32K","-12.83%"
"09/27/2017","343.00","343.00","343.00","343.00","","0.00%"
"09/26/2017","343.00","343.00","343.00","343.00","","0.00%"
"09/25/2017","343.00","343.00","343.00","343.00","0.01K","-1.15%"
"09/22/2017","347.00","347.00","347.00","347.00","","0.00%"
"09/21/2017","347.00","347.00","347.00","347.00","","0.00%"
"09/20/2017","347.00","347.00","347.00","347.00","0.02K","-0.86%"
"09/19/2017","350.00","350.00","350.00","350.00","0.05K","-1.13%"
"09/18/2017","354.00","354.00","354.00","354.00","","0.00%"
"09/15/2017","354.00","354.00","354.00","354.00","","-0.56%"
"09/14/2017","356.00","356.00","356.00","356.00","","0.00%"
"09/13/2017","356.00","356.00","356.00","356.00","0.03K","-0.84%"
"09/12/2017","359.00","359.00","359.00","359.00","0.01K","-0.28%"
"09/11/2017","360.00","360.00","360.00","360.00","","0.28%"
"09/08/2017","359.00","359.00","359.00","359.00","0.04K","-0.55%"
"09/07/2017","361.00","361.00","361.00","361.00","0.29K","0.28%"
"09/06/2017","360.00","360.00","360.00","360.00","0.25K","-0.83%"
"09/05/2017","363.00","363.00","363.00","363.00","0.99K","1.68%"
"09/04/2017","357.00","357.00","357.00","357.00","0.12K","0.85%"
"09/01/2017","354.00","354.00","354.00","354.00","0.17K","1.00%"
"08/31/2017","350.50","350.50","350.50","350.50","0.17K","0.43%"
"08/30/2017","349.00","349.00","349.00","349.00","","0.00%"
"08/29/2017","349.00","349.00","349.00","349.00","","0.00%"
"08/25/2017","349.00","349.00","349.00","349.00","","0.00%"
"08/24/2017","349.00","349.00","349.00","349.00","","0.00%"
"08/23/2017","349.00","349.00","349.00","349.00","","0.00%"
"08/22/2017","349.00","349.00","349.00","349.00","0.01K","0.58%"
"08/21/2017","347.00","347.00","347.00","347.00","","0.00%"
"08/18/2017","347.00","347.00","347.00","347.00","","0.00%"
"08/17/2017","347.00","347.00","347.00","347.00","","0.00%"
"08/16/2017","347.00","347.00","347.00","347.00","0.11K","1.46%"
"08/15/2017","342.00","342.00","342.00","342.00","0.06K","-1.16%"
"08/14/2017","346.00","346.00","346.00","346.00","0.00K","0.00%"
"08/11/2017","346.00","346.00","346.00","346.00","","-0.57%"
"08/10/2017","348.00","348.00","348.00","348.00","0.12K","2.35%"
"08/09/2017","340.00","340.00","340.00","340.00","0.00K","-0.87%"
"08/08/2017","343.00","343.00","343.00","343.00","0.15K","-0.58%"
"08/07/2017","345.00","345.00","345.00","345.00","0.05K","0.88%"
"08/04/2017","342.00","342.00","342.00","342.00","","0.00%"
"08/03/2017","342.00","342.00","342.00","342.00","0.35K","2.09%"
"08/02/2017","335.00","335.00","335.00","335.00","1.24K","0.00%"
"08/01/2017","335.00","335.00","335.00","335.00","0.34K","0.00%"
"07/31/2017","335.00","335.00","335.00","335.00","0.80K","2.13%"
"07/28/2017","328.00","328.00","328.00","328.00","0.30K","0.61%"
"07/27/2017","326.00","326.00","326.00","326.00","0.17K","7.24%"
"07/26/2017","304.00","304.00","304.00","304.00","0.15K","0.00%"
"07/25/2017","304.00","304.00","304.00","304.00","0.16K","1.67%"
"07/24/2017","299.00","299.00","299.00","299.00","0.15K","0.00%"
"07/21/2017","299.00","299.00","299.00","299.00","0.00K","0.00%"
"07/20/2017","299.00","299.00","299.00","299.00","","0.00%"
"07/19/2017","299.00","299.00","299.00","299.00","","0.00%"
"07/18/2017","299.00","299.00","299.00","299.00","","0.00%"
"07/17/2017","299.00","299.00","299.00","299.00","","0.00%"
"07/14/2017","299.00","299.00","299.00","299.00","","0.00%"
"07/13/2017","299.00","299.00","299.00","299.00","","0.00%"
"07/12/2017","299.00","299.00","299.00","299.00","0.01K","-0.33%"
"07/11/2017","300.00","300.00","300.00","300.00","","0.00%"
"07/10/2017","300.00","300.00","300.00","300.00","0.00K","-0.33%"
"07/07/2017","301.00","301.00","301.00","301.00","0.16K","1.01%"
"07/06/2017","298.00","298.00","298.00","298.00","0.10K","-0.33%"
"07/05/2017","299.00","299.00","299.00","299.00","0.17K","1.01%"
"07/04/2017","296.00","296.00","296.00","296.00","0.03K","-1.66%"
"07/03/2017","301.00","301.00","301.00","301.00","0.04K","8.79%"
"06/30/2017","276.68","276.68","276.68","276.68","","0.25%"
"06/29/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/28/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/27/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/26/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/23/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/22/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/21/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/20/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/19/2017","276.00","276.00","276.00","276.00","0.30K","0.00%"
"06/16/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/15/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/14/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/13/2017","276.00","276.00","276.00","276.00","","0.00%"
"06/12/2017","276.00","276.00","276.00","276.00","0.42K","0.55%"
"06/09/2017","274.50","274.50","274.50","274.50","0.55K","1.29%"
"06/08/2017","271.00","271.00","271.00","271.00","0.20K","0.37%"
"06/07/2017","270.00","270.00","270.00","270.00","0.03K","0.00%"
"06/06/2017","270.00","270.00","270.00","270.00","0.15K","-1.10%"
"06/05/2017","273.00","273.00","273.00","273.00","0.00K","-1.44%"
"06/02/2017","277.00","277.00","277.00","277.00","","0.00%"
"06/01/2017","277.00","277.00","277.00","277.00","","1.57%"
"05/31/2017","272.71","272.71","272.71","272.71","","-1.55%"
"05/30/2017","277.00","277.00","277.00","277.00","","0.00%"
"05/26/2017","277.00","277.00","277.00","277.00","","-0.36%"
"05/25/2017","278.00","278.00","278.00","278.00","","0.00%"
"05/24/2017","278.00","278.00","278.00","278.00","0.02K","1.83%"
"05/23/2017","273.00","273.00","273.00","273.00","","0.00%"
"05/22/2017","273.00","273.00","273.00","273.00","","0.00%"
"05/19/2017","273.00","273.00","273.00","273.00","","0.00%"
"05/18/2017","273.00","273.00","273.00","273.00","","0.00%"
"05/17/2017","273.00","273.00","273.00","273.00","","0.00%"
"05/16/2017","273.00","273.00","273.00","273.00","","0.00%"
"05/15/2017","273.00","273.00","273.00","273.00","","0.00%"
"05/12/2017","273.00","273.00","273.00","273.00","0.03K","-1.80%"
"05/11/2017","278.00","278.00","278.00","278.00","","0.00%"
"05/10/2017","278.00","278.00","278.00","278.00","","-0.71%"
"05/09/2017","280.00","280.00","280.00","280.00","","0.00%"
"05/08/2017","280.00","280.00","280.00","280.00","0.00K","1.82%"
"05/05/2017","275.00","275.00","275.00","275.00","","0.00%"
